,A2C Agent 1,A2C Agent 2,SAC Agent 1,SAC Agent 2,Mean Var,djia
2025-03-18 15:30:00+00:00,872053.7370977786,873023.4491606164,897137.9763628235,897277.7296821597,830380.4680604255,927788.5037442449
2025-03-18 16:30:00+00:00,868458.9125738528,869424.2596311974,893439.3617082825,893578.6300270084,826957.0148478887,926763.699702159
2025-03-18 17:30:00+00:00,864632.1237554934,865592.8241453576,889502.0854631653,889640.8374855045,823312.655467697,927629.8086573227
2025-03-18 18:30:00+00:00,860898.6974554447,861854.8645430017,885660.8673082582,885799.115630341,819757.2078580557,928943.2284893605
2025-03-18 19:30:00+00:00,856785.0351934816,857736.207278292,881428.4349809875,881566.1283027651,815839.6507722291,928260.4036400816
2025-03-19 13:30:00+00:00,867235.925787964,868096.4112808262,892181.0647264709,892092.8531883529,825792.329892288,933513.6469927194
2025-03-19 14:30:00+00:00,869126.0219793705,869988.5475112952,894125.7319627992,894037.2654197984,827592.3220297088,933569.6262486557
2025-03-19 15:30:00+00:00,874907.3729315188,875776.1384536779,900074.0026537171,899984.756111937,833098.0662901604,934773.703421902
2025-03-19 16:30:00+00:00,870709.2263555911,871573.4606887853,895754.6467729798,895665.9666298203,829100.0523992445,931192.6005538284
2025-03-19 17:30:00+00:00,878694.9166937257,879567.7702285801,903970.9007555236,903881.1432121566,836705.0514918166,932459.3710059194
2025-03-19 18:30:00+00:00,876575.0616217044,877445.6271316564,901789.8410173645,901700.3694771103,834686.2534647856,937174.0102091513
2025-03-19 19:30:00+00:00,871164.2767401126,872029.0022232091,896222.8354173889,896134.0938804917,829533.4097690933,936691.5597058875
2025-03-20 13:30:00+00:00,881392.8729315188,882268.6384536779,906746.7526537171,906656.631111937,839274.391632923,941308.1916136796
2025-03-20 14:30:00+00:00,886803.6012640382,887962.0731283773,912313.7000719298,912621.7571155933,844427.1814753321,940720.4966214515
2025-03-20 15:30:00+00:00,876871.548407593,878016.6203085532,902094.887999176,902400.2650501637,834968.606228563,938080.0545213538
2025-03-20 16:30:00+00:00,873899.3291693118,875651.8962272021,899036.8545519104,900095.0371627929,832138.0776639738,935091.3551810546
2025-03-20 17:30:00+00:00,875308.3624029544,877063.7809851978,900486.5695329895,901546.4630584838,833479.9399212772,934607.1607757364
2025-03-20 18:30:00+00:00,875055.5880499271,876810.4950812672,900226.4970537416,901286.0836486939,833239.2157454076,935117.6881020713
2025-03-20 19:30:00+00:00,878205.7106695559,879424.0028313968,903467.5703264466,904455.5392180335,836239.1667389198,936356.9920968103
